id,id,url,title,genre,cag_rating,cag_release,tomatoScore,popcornScore,abs_squidScore,tScore_qcut,pScore_qcut,tScore_rnd,pScore_rnd,sScore_rnd,sScore_multi,sScore_Output,sScore,sScore_qcut
82,130,/m/beijing_love_story,Beijing Love Story,Drama,NR,2014,33.0,53,20.0,0,1,3,5,2,0,no-one should,20.0,best
83,135,/m/seed_the_untold_story,SEED: The Untold Story,Documentary,NR,2016,92.0,83,9.0,4,4,9,8,9,16,universal,-9.0,bad
84,137,/m/wilderness_survival_for_girls,Wilderness Survival For Girls,Drama,R,2004,50.0,37,13.0,1,0,5,3,1,0,no-one should,-13.0,bad
85,139,/m/casper_meets_wendy,Casper Meets Wendy,Animation,PG,1998,17.0,46,29.0,0,1,1,4,2,0,no-one should,29.0,best
86,140,/m/unlikely_weapon,An Unlikely Weapon,Documentary,NR,2008,79.0,73,6.0,3,3,7,7,6,9,no-one should,-6.0,okay
87,141,/m/horses_mouth,The Horse's Mouth,Classics,NR,1958,94.0,76,18.0,4,3,9,7,1,12,toss up,-18.0,worst
88,144,/m/designated_mourner,The Designated Mourner,Art House & International,R,1997,65.0,73,8.0,2,3,6,7,8,6,no-one should,8.0,good
89,145,/m/ferrell_takes_the_field,Ferrell Takes The Field,Comedy,NR,2015,71.0,36,35.0,2,0,7,3,3,0,no-one should,-35.0,worst
90,148,/m/1127803-highwaymen,Highwaymen,Action & Adventure,R,2004,13.0,37,24.0,0,0,1,3,2,0,no-one should,24.0,best
91,149,/m/to_save_a_life,To Save a Life,Drama,PG-13,2010,36.0,82,46.0,0,3,3,8,4,0,no-one should,46.0,best
92,150,/m/papi_chulo_2018,Papi Chulo,Comedy,R,2019,74.0,79,5.0,2,3,7,7,5,6,no-one should,5.0,good
93,151,/m/species_iii,Species III,Drama,R,2004,33.0,17,16.0,0,0,3,1,1,0,no-one should,-16.0,bad
94,152,/m/admission,Admission,Comedy,PG-13,2013,38.0,32,6.0,0,0,3,3,6,0,no-one should,-6.0,okay
95,153,/m/the_flying_deuces,The Flying Deuces,Comedy,G,1939,83.0,66,17.0,3,2,8,6,1,6,no-one should,-17.0,bad
96,154,/m/the_piano_tuner_of_earthquakes,The Piano Tuner of Earthquakes,Art House & International,NR,2006,45.0,58,13.0,1,1,4,5,1,1,no-one should,13.0,good
97,155,/m/1032808-partner,Partner,Art House & International,NR,1968,89.0,59,30.0,3,1,8,5,3,3,no-one should,-30.0,worst
98,158,/m/living_wake,The Living Wake,Art House & International,PG-13,2010,50.0,70,20.0,1,2,5,7,2,2,no-one should,20.0,best
99,160,/m/going_in_style_2017,Going in Style,Comedy,PG-13,2017,48.0,57,9.0,1,1,4,5,9,1,no-one should,9.0,good
100,162,/m/repo_the_genetic_opera,Repo! The Genetic Opera,Horror,R,2008,40.0,73,33.0,1,3,4,7,3,3,no-one should,33.0,best
101,163,/m/harvard_man,Harvard Man,Comedy,R,2002,33.0,33,0.0,0,0,3,3,0,0,no-one should,0.0,okay
102,164,/m/jojo_rabbit,Jojo Rabbit,Comedy,PG-13,2019,79.0,94,15.0,3,4,7,9,1,12,toss up,15.0,good
103,165,/m/blues_brothers_2000,Blues Brothers 2000,Comedy,PG-13,1997,46.0,38,8.0,1,0,4,3,8,0,no-one should,-8.0,bad
104,166,/m/phantom_of_the_theatre,Phantom of the Theatre,Art House & International,NR,2016,45.0,29,16.0,1,0,4,2,1,0,no-one should,-16.0,bad
105,169,/m/when_i_saw_you,When I Saw You,Drama,NR,2012,82.0,72,10.0,3,3,8,7,1,9,no-one should,-10.0,bad
106,172,/m/long_gray_line,The Long Gray Line,Classics,NR,1955,100.0,77,23.0,4,3,1,7,2,12,toss up,-23.0,worst
107,174,/m/scandal_in_paris,A Scandal in Paris,Action & Adventure,NR,1946,71.0,64,7.0,2,2,7,6,7,4,no-one should,-7.0,okay
108,175,/m/delicate_balance,A Delicate Balance,Classics,PG,1973,71.0,63,8.0,2,2,7,6,8,4,no-one should,-8.0,bad
109,178,/m/lisztomania,Lisztomania,Comedy,R,1975,50.0,64,14.0,1,2,5,6,1,2,no-one should,14.0,good
110,179,/m/la_ronde,La Ronde,Art House & International,NR,1950,100.0,84,16.0,4,4,1,8,1,16,universal,-16.0,bad
111,181,/m/10002076-black_and_white,Black and White,Drama,NR,2002,43.0,56,13.0,1,1,4,5,1,1,no-one should,13.0,good
112,182,/m/crime_and_punishment_in_suburbia,Crime & Punishment in Suburbia,Art House & International,R,2000,21.0,58,37.0,0,1,2,5,3,0,no-one should,37.0,best
113,188,/m/pete_seeger_the_power_of_song,Pete Seeger: The Power of Song,Documentary,PG,2007,95.0,92,3.0,4,4,9,9,3,16,universal,-3.0,okay
114,189,/m/the_female_brain,The Female Brain,Comedy,NR,2018,37.0,51,14.0,0,1,3,5,1,0,no-one should,14.0,good
115,190,/m/leopard_man,The Leopard Man,Drama,PG,1943,89.0,64,25.0,3,2,8,6,2,6,no-one should,-25.0,worst
