id,title,genre,cag_rating,cag_release,sScore,sScore_qcut
257,Chan Is Missing,Art House & International,R,1982,-25.0,worst
258,Jesse James Meets Frankenstein's Daughter,Horror,NR,1965,-3.0,okay
259,Yellow Submarine,Action & Adventure,G,1968,-13.0,bad
260,Off Limits,Action & Adventure,R,1988,-18.0,worst
261,Invasion U.S.A.,Action & Adventure,PG,1985,33.0,best
262,Flying Blind,Drama,NR,2013,-5.0,okay
263,America Brown,Art House & International,NR,2004,-30.0,worst
264,Relentless,Action & Adventure,R,1989,-6.0,okay
265,Jiminy Glick in Lalawood,Action & Adventure,R,2005,10.0,good
266,An Unmarried Woman,Comedy,R,1978,-19.0,worst
267,A Mighty Wind,Comedy,PG-13,2003,-12.0,bad
268,Snowflake (Schneeflöckchen),Action & Adventure,NR,2017,-9.0,bad
269,Jolene,Drama,R,2008,-4.0,okay
270,American Experience,Documentary,NR,2006,-5.0,okay
271,Grumpier Old Men,Comedy,PG-13,1995,45.0,best
272,The Two Jakes,Comedy,R,1990,-30.0,worst
273,Heavy Metal,Action & Adventure,R,1981,7.0,good
274,Banlieue 13 - Ultimatum (District 13: Ultimatum),Action & Adventure,R,2009,-19.0,worst
275,Paper Moon,Classics,PG,1973,2.0,good
276,An Evening with Kevin Smith,Comedy,NR,2001,-8.0,bad
277,The Nightingale,Drama,R,2019,-6.0,okay
278,Bandit Queen,Art House & International,R,1995,-17.0,bad
279,"A Bread Factory, Part Two: Walk with Me a While",Drama,NR,2018,-17.0,bad
280,Summer of Sam,Drama,R,1999,9.0,good
281,The Marc Pease Experience,Comedy,PG-13,2009,-4.0,okay
282,Repentance,Horror,R,2014,22.0,best
283,Loitering With Intent,Comedy,NR,2015,-7.0,okay
284,Mon Mon Mon Monsters,Art House & International,NR,2017,-25.0,worst
285,Risk,Action & Adventure,R,2000,-30.0,worst
286,Desperate Remedies,Drama,R,1993,33.0,best
287,The Evil Dead,Horror,R,1981,-11.0,bad
288,A Chorus Line,Comedy,PG-13,1985,22.0,best
289,Cleopatra,Classics,NR,1934,-16.0,bad
290,Sunflower,Art House & International,NR,2007,5.0,good
291,The Whisperer In Darkness,Science Fiction & Fantasy,NR,2011,-21.0,worst
292,Kansas,Action & Adventure,R,1988,-1.0,okay
293,Kelly's Heroes,Action & Adventure,PG,1970,12.0,good
294,Just a Little Harmless Sex,Comedy,R,1999,33.0,best
295,Suburbia,Comedy,R,1997,3.0,good
296,Blind Chance (Przypadek),Art House & International,NR,1989,16.0,best
297,Late Autumn (Akibiyori),Art House & International,NR,1973,-13.0,bad
298,Shanghai Triad (Yao a yao yao dao waipo qiao),Action & Adventure,R,1995,-16.0,bad
299,The Hero of Color City,Animation,G,2014,23.0,best
300,The White King,Action & Adventure,NR,2017,-9.0,bad
301,Best Worst Thing That Ever Could Have Happened...,Documentary,NR,2016,-18.0,worst
302,The Boxtrolls,Action & Adventure,PG,2014,-14.0,bad
303,Gregory Crewdson: Brief Encounters,Documentary,NR,2012,-11.0,bad
304,Saints and Sinners,Documentary,NR,2004,-47.0,worst
305,7 Days in Havana,Drama,NR,2012,-7.0,okay
306,Return of the Secaucus Seven,Art House & International,R,1980,-7.0,okay
307,Lovers and Other Strangers,Comedy,PG,1971,-29.0,worst
308,The Big Short,Drama,R,2015,-1.0,okay
309,London,Drama,R,2006,46.0,best
310,Gung Ho,Comedy,PG-13,1986,12.0,good
311,The Boy Downstairs,Comedy,PG-13,2018,-24.0,worst
312,Jai Ho,Action & Adventure,NR,2014,27.0,best
