,url,title,genre,cag_rating,cag_release,tomatoScore,popcornScore
/m/in_a_savage_land,/m/in_a_savage_land,In a Savage Land,"[""Drama""]",R,1999,null,59
/m/frankie_and_johnny_are_married,/m/frankie_and_johnny_are_married,Frankie and Johnny Are Married,"[""Comedy"",""Drama""]",R,2004,67,41
/m/arctic_blue,/m/arctic_blue,Arctic Blue,"[""Action & Adventure"",""Mystery & Suspense""]",R,1993,null,17
/m/flint,/m/flint,Flint,"[""Drama""]",NR,2017,67,50
/m/1011392-kansas,/m/1011392-kansas,Kansas,"[""Action & Adventure"",""Drama"",""Mystery & Suspense""]",R,1988,20,19
/m/1011813-lady_vanishes,/m/1011813-lady_vanishes,The Lady Vanishes,"[""Classics"",""Mystery & Suspense""]",PG,1938,98,88
/m/multiplicity,/m/multiplicity,Multiplicity,"[""Comedy"",""Science Fiction & Fantasy""]",PG-13,1996,43,48
/m/love_101,/m/love_101,Love 101,"[""Comedy"",""Drama""]",R,2000,null,27
/m/sexo-por-compasion,/m/sexo-por-compasion,Sexo por compasión (Compassionate Sex),"[""Art House & International"",""Drama""]",NR,2001,null,79
/m/fear_and_loathing_in_las_vegas,/m/fear_and_loathing_in_las_vegas,Fear and Loathing in Las Vegas,"[""Comedy"",""Drama"",""Special Interest""]",R,1998,49,89
/m/lymelife,/m/lymelife,Lymelife,"[""Drama""]",R,2008,63,52
/m/a-quiet-place-in-the-country-un-tranquillo-posto-in-campagna,/m/a-quiet-place-in-the-country-un-tranquillo-posto-in-campagna,A Quiet Place in the Country (Un tranquillo posto di campagna),"[""Art House & International"",""Horror"",""Mystery & Suspense""]",R,1968,null,54
/m/rush_hour,/m/rush_hour,Rush Hour,"[""Action & Adventure"",""Comedy""]",PG-13,1998,60,78
/m/10011582-TRON_legacy,/m/10011582-TRON_legacy,Tron Legacy,"[""Action & Adventure"",""Science Fiction & Fantasy""]",PG,2010,51,63
/m/its-love-im-after,/m/its-love-im-after,It's Love I'm After,"[""Classics"",""Comedy"",""Romance""]",NR,1937,null,82
/m/1175178-jane_austen_book_club,/m/1175178-jane_austen_book_club,The Jane Austen Book Club,"[""Comedy"",""Drama"",""Romance""]",PG-13,2007,66,67
/m/wrong_turn_5_2012,/m/wrong_turn_5_2012,Wrong Turn 5,"[""Horror"",""Mystery & Suspense""]",R,2012,null,17
/m/hare_krishna_the_mantra_the_movement_and_the_swami_who_started_it_all_2017,/m/hare_krishna_the_mantra_the_movement_and_the_swami_who_started_it_all_2017,"Hare Krishna! The Mantra, The Movement And The Swami Who Started It All","[""Documentary""]",NR,2017,20,94
/m/faults,/m/faults,Faults,"[""Drama"",""Mystery & Suspense""]",NR,2015,91,68
/m/star_trek_iii_the_search_for_spock,/m/star_trek_iii_the_search_for_spock,Star Trek III - The Search for Spock,"[""Action & Adventure"",""Science Fiction & Fantasy""]",PG,1984,80,61
/m/people_speak,/m/people_speak,The People Speak,"[""Documentary"",""Special Interest""]",NR,2009,null,79
/m/10010066-push,/m/10010066-push,Push,"[""Mystery & Suspense"",""Science Fiction & Fantasy""]",PG-13,2009,23,42
/m/examined_life,/m/examined_life,Examined Life,"[""Art House & International"",""Documentary"",""Faith & Spirituality""]",NR,2009,77,73
/m/1198658-i_love_you_beth_cooper,/m/1198658-i_love_you_beth_cooper,I Love You Beth Cooper,"[""Comedy""]",PG-13,2009,13,32
/m/dangerous_liaisons_1959,/m/dangerous_liaisons_1959,Dangerous Liaisons (Les Liaisons Dangereuses),"[""Art House & International"",""Drama"",""Romance""]",NR,1959,88,71
/m/ballad_of_jack_and_rose,/m/ballad_of_jack_and_rose,The Ballad of Jack and Rose,"[""Drama""]",R,2005,47,62
/m/contractor,/m/contractor,The Contractor,"[""Action & Adventure""]",R,2007,null,28
/m/caterina_in_the_big_city,/m/caterina_in_the_big_city,Caterina in the Big City,"[""Art House & International"",""Comedy"",""Drama""]",NR,2003,89,77
/m/whats_the_matter_with_kansas,/m/whats_the_matter_with_kansas,What's the Matter with Kansas?,"[""Documentary"",""Special Interest""]",NR,2009,60,59
/m/i_live_my_life,/m/i_live_my_life,I Live My Life,"[""Drama"",""Romance""]",NR,1935,null,57
/m/stardust_memories,/m/stardust_memories,Stardust Memories,"[""Comedy"",""Drama""]",PG,1980,68,78
/m/great_balls_of_fire,/m/great_balls_of_fire,Great Balls of Fire,"[""Drama""]",PG-13,1989,63,53
/m/manito,/m/manito,Manito,"[""Drama""]",NR,2003,94,73
/m/exploding_girl,/m/exploding_girl,The Exploding Girl,"[""Documentary"",""Drama""]",NR,2010,76,54
/m/blue_hill_avenue,/m/blue_hill_avenue,Blue Hill Avenue,"[""Action & Adventure"",""Drama"",""Mystery & Suspense""]",R,2001,null,92
/m/broken_2012,/m/broken_2012,Broken,"[""Documentary"",""Drama"",""Special Interest""]",NR,2013,63,73
/m/two_men_in_town,/m/two_men_in_town,Deux Hommes dans la Ville (Two Against the Law) (Two Men in Town),"[""Art House & International"",""Drama""]",NR,1973,null,76
/m/h_2014,/m/h_2014,H.,"[""Drama""]",NR,2014,89,34
/m/traffic_in_souls,/m/traffic_in_souls,Traffic in Souls,"[""Classics"",""Drama""]",NR,1913,null,50
/m/code_46,/m/code_46,Code 46,"[""Drama"",""Science Fiction & Fantasy"",""Romance""]",R,2004,50,59
